Decay 0.1
3 9 8314.810179993956
3 10 8115.804578741963
4 1 9924.604660782697
4 2 8687.483151946151
4 3 8253.836605104705
4 4 8173.635878732034
4 5 8002.775450583762
4 6 8154.865979608526
4 7 8361.476881170673
4 8 7996.706549945515
4 9 8293.46627947959
4 10 8115.804578741963
5 1 11686.54588452441
5 2 8502.597348550506
5 3 8312.067599619508
5 4 8138.61177707952
5 5 8212.308745628181
5 6 8245.398312499157
5 7 8372.24217291189
5 8 7996.706549945515
5 9 8293.46627947959
5 10 8174.769464063319
6 1 10774.406746470519
6 2 8778.731135459311
6 3 8147.326939317822
6 4 8467.469400620694
6 5 8089.606684526545
6 6 8152.039404876825
6 7 8361.476881170673
6 8 8181.644474214345
6 9 8292.735262966002
6 10 8244.179222784192
7 1 11982.093242964316
7 2 9899.070849173248
7 3 8532.013121752188
7 4 8199.003717374831
7 5 8062.68660233513
7 6 8152.039404876825
7 7 8361.476881170673
7 8 8181.644474214345
7 9 8314.810179993956
7 10 8194.873727668893
8 1 11655.165856060954
8 2 9803.835148644952
8 3 8601.803396327497
8 4 8266.10103786496
8 5 8054.060273386782
8 6 8152.039404876825
8 7 8361.476881170673
8 8 8252.541870077599
8 9 8314.810179993956
8 10 8194.873727668893
9 1 11860.614793810888
9 2 9380.41262221071
9 3 8664.891622328736
9 4 8445.610361564819
9 5 8054.060273386782
9 6 8152.039404876825
9 7 8372.24217291189
9 8 8252.541870077599
9 9 8314.810179993956
9 10 8194.873727668893
10 1 11998.396864255923
10 2 9008.689748661498
10 3 8795.53226593944
10 4 8445.610361564819
10 5 8054.060273386782
10 6 8105.5357647435285
10 7 8372.24217291189
10 8 8252.541870077599
10 9 8314.810179993956
10 10 8194.873727668893
Decay 0.9
1 1 8443.070718000978
1 2 8337.770700506257
1 3 7718.339373537067
1 4 8088.562164796639
1 5 7835.142333872999
1 6 8091.508898868951
1 7 8019.259331085326
1 8 8057.707998812857
1 9 8057.707998812857
1 10 8057.707998812857
2 1 10075.68363277776
2 2 8297.898363677697
2 3 7873.572969285065
2 4 7782.3501627469495
2 5 8185.28212237886
2 6 8181.9382841288725
2 7 8372.24217291189
2 8 8174.769464063319
2 9 8265.629187285773
2 10 8115.804578741963
3 1 10591.449004943712
3 2 8643.870749713318
3 3 8254.889368696378
3 4 8218.02944113523
3 5 8067.086975905071
3 6 8268.834441774827
3 7 8372.24217291189
3 8 7996.706549945515
3 9 8314.810179993956
3 10 8174.769464063319
4 1 12221.254593484673
4 2 9376.507488322119
4 3 8486.839508169498
4 4 8272.37250554414
4 5 8089.606684526545
4 6 8245.398312499157
4 7 8372.24217291189
4 8 8109.879805292115
4 9 8314.810179993956
4 10 8174.769464063319
5 1 11722.625973078824
5 2 9036.982999752505
5 3 8548.73944418933
5 4 8042.109303045551
5 5 8062.68660233513
5 6 8152.039404876825
5 7 8372.24217291189
5 8 8389.758554303951
5 9 8314.810179993956
5 10 8194.873727668893
6 1 11487.453205502397
6 2 9819.114846757628
6 3 8627.302709276582
6 4 8423.095514169407
6 5 8054.060273386782
6 6 7997.136319096667
6 7 8372.24217291189
6 8 8252.541870077599
6 9 8314.810179993956
6 10 8194.873727668893
7 1 11336.003307844361
7 2 9591.542713253568
7 3 8240.373644074445
7 4 8046.204369640906
7 5 8054.060273386782
7 6 7997.136319096667
7 7 8372.24217291189
7 8 8252.541870077599
7 9 8314.810179993956
7 10 8235.741031067024
8 1 13175.429709067677
8 2 9724.985675268112
8 3 8240.373644074445
8 4 8046.204369640906
8 5 8103.89976465666
8 6 7927.37787201341
8 7 8372.24217291189
8 8 8252.541870077599
8 9 8314.810179993956
8 10 8244.179222784192
9 1 13556.882198982672
9 2 9392.806978280947
9 3 8054.387833690809
9 4 8046.204369640906
9 5 8103.89976465666
9 6 7927.37787201341
9 7 8372.24217291189
9 8 7988.62016453586
9 9 8314.810179993956
9 10 8244.179222784192
10 1 14033.14328990626
10 2 9632.730320625324
10 3 8552.678379436828
10 4 8445.610361564819
10 5 8103.89976465666
10 6 8344.819905549324
10 7 8372.24217291189
10 8 7988.62016453586
10 9 8314.810179993956
10 10 8244.179222784192
